SourceFile,True,Pred,TrueIndex,PredIndex
ContainerModel100ml_Tamb24p6C_Tliquid64p6C_LevelclassLOW_VET6_8chips_raw_stream_20260528_221112.bin,Low,Mid,0,1
ContainerModel100ml_Tamb24p6C_Tliquid65p6C_LevelclassLOW_VET6_8chips_raw_stream_20260528_220436.bin,Low,High,0,2
ContainerModel100ml_Tamb24p6C_Tliquid65p6C_LevelclassLOW_VET6_8chips_raw_stream_20260528_220437.bin,Low,High,0,2
ContainerModel100ml_Tamb24p6C_Tliquid68p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_220602.bin,Mid,High,1,2
ContainerModel100ml_Tamb24p6C_Tliquid68p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_220605.bin,Mid,High,1,2
ContainerModel100ml_Tamb24p6C_Tliquid68p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_220608.bin,Mid,High,1,2
ContainerModel100ml_Tamb24p6C_Tliquid68p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_220609.bin,Mid,High,1,2
ContainerModel100ml_Tamb24p6C_Tliquid69p8C_LevelclassLOW_VET6_8chips_raw_stream_20260528_222957.bin,Low,High,0,2
ContainerModel100ml_Tamb24p6C_Tliquid69p8C_LevelclassLOW_VET6_8chips_raw_stream_20260528_222959.bin,Low,High,0,2
ContainerModel100ml_Tamb24p6C_Tliquid69p8C_LevelclassLOW_VET6_8chips_raw_stream_20260528_223002.bin,Low,High,0,2
ContainerModel100ml_Tamb24p6C_Tliquid69p8C_LevelclassMid_VET6_8chips_raw_stream_20260528_223105.bin,Mid,High,1,2
ContainerModel100ml_Tamb24p6C_Tliquid69p8C_LevelclassMid_VET6_8chips_raw_stream_20260528_223112.bin,Mid,High,1,2
ContainerModel100ml_Tamb24p6C_Tliquid71p3C_LevelclassLOW_VET6_8chips_raw_stream_20260528_222201.bin,Low,High,0,2
ContainerModel100ml_Tamb24p6C_Tliquid71p3C_LevelclassLOW_VET6_8chips_raw_stream_20260528_222203.bin,Low,High,0,2
ContainerModel100ml_Tamb24p6C_Tliquid71p3C_LevelclassLOW_VET6_8chips_raw_stream_20260528_222207.bin,Low,High,0,2
ContainerModel100ml_Tamb24p6C_Tliquid71p3C_LevelclassLOW_VET6_8chips_raw_stream_20260528_222210.bin,Low,High,0,2
ContainerModel100ml_Tamb24p6C_Tliquid71p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_222256.bin,Mid,High,1,2
ContainerModel100ml_Tamb24p6C_Tliquid71p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_222258.bin,Mid,High,1,2
ContainerModel100ml_Tamb24p6C_Tliquid71p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_222259.bin,Mid,High,1,2
ContainerModel100ml_Tamb24p6C_Tliquid71p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_222300.bin,Mid,High,1,2
ContainerModel15ml_Tamb24p6C_Tliquid50p3C_LevelclassHigh_VET6_8chips_raw_stream_20260528_233752.bin,High,Mid,2,1
ContainerModel15ml_Tamb24p6C_Tliquid50p3C_LevelclassLOW_VET6_8chips_raw_stream_20260528_232934.bin,Low,Mid,0,1
ContainerModel15ml_Tamb24p6C_Tliquid50p3C_LevelclassLOW_VET6_8chips_raw_stream_20260528_232938.bin,Low,Mid,0,1
ContainerModel15ml_Tamb24p6C_Tliquid50p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_233031.bin,Mid,High,1,2
ContainerModel15ml_Tamb24p6C_Tliquid50p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_233032.bin,Mid,High,1,2
ContainerModel15ml_Tamb24p6C_Tliquid50p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_233034.bin,Mid,High,1,2
ContainerModel15ml_Tamb24p6C_Tliquid50p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_233035.bin,Mid,High,1,2
ContainerModel15ml_Tamb24p6C_Tliquid50p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_233037.bin,Mid,High,1,2
ContainerModel15ml_Tamb24p6C_Tliquid50p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_233039.bin,Mid,High,1,2
ContainerModel15ml_Tamb24p6C_Tliquid54p2C_LevelclassLOW_VET6_8chips_raw_stream_20260528_235823.bin,Low,High,0,2
ContainerModel15ml_Tamb24p6C_Tliquid54p2C_LevelclassLOW_VET6_8chips_raw_stream_20260528_235826.bin,Low,High,0,2
ContainerModel15ml_Tamb24p6C_Tliquid54p2C_LevelclassMid_VET6_8chips_raw_stream_20260529_000243.bin,Mid,High,1,2
ContainerModel15ml_Tamb24p6C_Tliquid54p2C_LevelclassMid_VET6_8chips_raw_stream_20260529_000246.bin,Mid,High,1,2
ContainerModel15ml_Tamb24p6C_Tliquid54p2C_LevelclassMid_VET6_8chips_raw_stream_20260529_000256.bin,Mid,High,1,2
ContainerModel15ml_Tamb24p6C_Tliquid62p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_232322.bin,Mid,High,1,2
